Benchmark,Disk,Test,Replica,file_size_in,reg_size_in,random_write(KB/s),random_rewrite(KB/s),random-reread,time,timestamp
iozone,/dev/md5,39,2,8192,1,8192,1,5,0:00:00.089401,2023-06-03 02:01:58.262503
iozone,/dev/md5,39,3,8192,1,8192,1,5,0:00:00.086414,2023-06-03 02:01:58.349087
iozone,/dev/md5,40,1,8192,4,8192,4,5,0:00:00.086820,2023-06-03 02:01:58.436084
iozone,/dev/md5,40,2,8192,4,8192,4,5,0:00:00.085043,2023-06-03 02:01:58.521297
iozone,/dev/md5,40,3,8192,4,8192,4,5,0:00:00.087238,2023-06-03 02:01:58.608706
iozone,/dev/md5,41,1,8192,4,8192,4,5,0:00:00.085830,2023-06-03 02:01:58.694720
iozone,/dev/md5,41,2,8192,4,8192,4,5,0:00:00.079480,2023-06-03 02:01:58.774374
iozone,/dev/md5,41,3,8192,4,8192,4,5,0:00:00.086839,2023-06-03 02:01:58.861382
iozone,/dev/md5,42,1,8192,4,8192,4,5,0:00:00.088279,2023-06-03 02:01:58.949842
iozone,/dev/md5,42,2,8192,4,8192,4,5,0:00:00.092702,2023-06-03 02:01:59.042712
iozone,/dev/md5,42,3,8192,4,8192,4,5,0:00:00.086324,2023-06-03 02:01:59.129206
iozone,/dev/md5,43,1,8192,8,8192,8,5,0:00:00.080172,2023-06-03 02:01:59.209556
iozone,/dev/md5,43,2,8192,8,8192,8,5,0:00:00.079393,2023-06-03 02:01:59.289117
iozone,/dev/md5,43,3,8192,8,8192,8,5,0:00:00.086860,2023-06-03 02:01:59.376149
iozone,/dev/md5,44,1,8192,8,8192,8,5,0:00:00.079335,2023-06-03 02:01:59.455662
iozone,/dev/md5,44,2,8192,8,8192,8,5,0:00:00.102608,2023-06-03 02:01:59.558442
iozone,/dev/md5,44,3,8192,8,8192,8,5,0:00:00.086743,2023-06-03 02:01:59.645356
iozone,/dev/md5,45,1,8192,8,8192,8,5,0:00:00.087367,2023-06-03 02:01:59.732904
iozone,/dev/md5,45,2,8192,8,8192,8,5,0:00:00.079491,2023-06-03 02:01:59.812565
iozone,/dev/md5,45,3,8192,8,8192,8,5,0:00:00.079949,2023-06-03 02:01:59.892684
iozone,/dev/md5,46,1,8192,16,8192,16,5,0:00:00.079073,2023-06-03 02:01:59.971935
iozone,/dev/md5,46,2,8192,16,8192,16,5,0:00:00.087755,2023-06-03 02:02:00.059860
iozone,/dev/md5,46,3,8192,16,8192,16,5,0:00:00.087378,2023-06-03 02:02:00.147409
iozone,/dev/md5,47,1,8192,16,8192,16,5,0:00:00.099042,2023-06-03 02:02:00.246634
iozone,/dev/md5,47,2,8192,16,8192,16,5,0:00:00.086770,2023-06-03 02:02:00.333575
iozone,/dev/md5,47,3,8192,16,8192,16,5,0:00:00.084537,2023-06-03 02:02:00.418283
iozone,/dev/md5,48,1,8192,16,8192,16,5,0:00:00.086523,2023-06-03 02:02:00.504984
iozone,/dev/md5,48,2,8192,16,8192,16,5,0:00:00.088885,2023-06-03 02:02:00.594037
iozone,/dev/md5,48,3,8192,16,8192,16,5,0:00:00.086562,2023-06-03 02:02:00.680770
iozone,/dev/md5,49,1,8192,32,8192,32,5,0:00:00.079893,2023-06-03 02:02:00.760842
iozone,/dev/md5,49,2,8192,32,8192,32,5,0:00:00.079791,2023-06-03 02:02:00.840801
iozone,/dev/md5,49,3,8192,32,8192,32,5,0:00:00.080676,2023-06-03 02:02:00.921647
iozone,/dev/md5,50,1,8192,32,8192,32,5,0:00:00.079353,2023-06-03 02:02:01.001187
iozone,/dev/md5,50,2,8192,32,8192,32,5,0:00:00.079487,2023-06-03 02:02:01.080848
iozone,/dev/md5,50,3,8192,32,8192,32,5,0:00:00.079366,2023-06-03 02:02:01.160387
iozone,/dev/md5,51,1,8192,32,8192,32,5,0:00:00.079541,2023-06-03 02:02:01.240108
iozone,/dev/md5,51,2,8192,32,8192,32,5,0:00:00.078996,2023-06-03 02:02:01.319274
iozone,/dev/md5,51,3,8192,32,8192,32,5,0:00:00.103854,2023-06-03 02:02:01.423300
iozone,/dev/md5,52,1,8192,64,8192,64,5,0:00:00.079073,2023-06-03 02:02:01.502554
iozone,/dev/md5,52,2,8192,64,8192,64,5,0:00:00.087423,2023-06-03 02:02:01.590160
iozone,/dev/md5,52,3,8192,64,8192,64,5,0:00:00.087404,2023-06-03 02:02:01.677735
iozone,/dev/md5,53,1,8192,64,8192,64,5,0:00:00.088722,2023-06-03 02:02:01.766636
iozone,/dev/md5,53,2,8192,64,8192,64,5,0:00:00.079143,2023-06-03 02:02:01.845946
iozone,/dev/md5,53,3,8192,64,8192,64,5,0:00:00.104357,2023-06-03 02:02:01.950475
iozone,/dev/md5,54,1,8192,64,8192,64,5,0:00:00.086642,2023-06-03 02:02:02.037301
iozone,/dev/md5,54,2,8192,64,8192,64,5,0:00:00.086263,2023-06-03 02:02:02.123743
iozone,/dev/md5,54,3,8192,64,8192,64,5,0:00:00.087250,2023-06-03 02:02:02.211162
iozone,/dev/md5,55,1,16384,1,16384,1,5,0:00:00.078690,2023-06-03 02:02:02.290042
iozone,/dev/md5,55,2,16384,1,16384,1,5,0:00:00.087007,2023-06-03 02:02:02.377217
iozone,/dev/md5,55,3,16384,1,16384,1,5,0:00:00.086277,2023-06-03 02:02:02.463661
iozone,/dev/md5,56,1,16384,1,16384,1,5,0:00:00.088349,2023-06-03 02:02:02.552186
iozone,/dev/md5,56,2,16384,1,16384,1,5,0:00:00.087506,2023-06-03 02:02:02.639861
iozone,/dev/md5,56,3,16384,1,16384,1,5,0:00:00.100902,2023-06-03 02:02:02.740930
iozone,/dev/md5,57,1,16384,1,16384,1,5,0:00:00.087252,2023-06-03 02:02:02.828362
iozone,/dev/md5,57,2,16384,1,16384,1,5,0:00:00.087297,2023-06-03 02:02:02.915828
iozone,/dev/md5,57,3,16384,1,16384,1,5,0:00:00.078629,2023-06-03 02:02:02.994637
iozone,/dev/md5,58,1,16384,4,16384,4,5,0:00:00.087293,2023-06-03 02:02:03.082109
iozone,/dev/md5,58,2,16384,4,16384,4,5,0:00:00.086994,2023-06-03 02:02:03.169275
iozone,/dev/md5,58,3,16384,4,16384,4,5,0:00:00.086696,2023-06-03 02:02:03.256141
iozone,/dev/md5,59,1,16384,4,16384,4,5,0:00:00.079231,2023-06-03 02:02:03.335551
iozone,/dev/md5,59,2,16384,4,16384,4,5,0:00:00.085771,2023-06-03 02:02:03.421491
iozone,/dev/md5,59,3,16384,4,16384,4,5,0:00:00.087352,2023-06-03 02:02:03.509011
iozone,/dev/md5,60,1,16384,4,16384,4,5,0:00:00.086935,2023-06-03 02:02:03.596121
iozone,/dev/md5,60,2,16384,4,16384,4,5,0:00:00.085230,2023-06-03 02:02:03.681521
iozone,/dev/md5,60,3,16384,4,16384,4,5,0:00:00.086930,2023-06-03 02:02:03.768622
iozone,/dev/md5,61,1,16384,8,16384,8,5,0:00:00.078864,2023-06-03 02:02:03.847679
iozone,/dev/md5,61,2,16384,8,16384,8,5,0:00:00.088059,2023-06-03 02:02:03.935905
iozone,/dev/md5,61,3,16384,8,16384,8,5,0:00:00.087258,2023-06-03 02:02:04.023331
iozone,/dev/md5,62,1,16384,8,16384,8,5,0:00:00.079301,2023-06-03 02:02:04.102810
iozone,/dev/md5,62,2,16384,8,16384,8,5,0:00:00.087660,2023-06-03 02:02:04.190668
iozone,/dev/md5,62,3,16384,8,16384,8,5,0:00:00.079128,2023-06-03 02:02:04.269964
iozone,/dev/md5,63,1,16384,8,16384,8,5,0:00:00.086936,2023-06-03 02:02:04.357078
iozone,/dev/md5,63,2,16384,8,16384,8,5,0:00:00.079707,2023-06-03 02:02:04.436954
iozone,/dev/md5,63,3,16384,8,16384,8,5,0:00:00.079548,2023-06-03 02:02:04.516670
iozone,/dev/md5,64,1,16384,16,16384,16,5,0:00:00.079286,2023-06-03 02:02:04.596133
iozone,/dev/md5,64,2,16384,16,16384,16,5,0:00:00.087395,2023-06-03 02:02:04.683695
iozone,/dev/md5,64,3,16384,16,16384,16,5,0:00:00.087365,2023-06-03 02:02:04.771230
iozone,/dev/md5,65,1,16384,16,16384,16,5,0:00:00.079150,2023-06-03 02:02:04.850556
iozone,/dev/md5,65,2,16384,16,16384,16,5,0:00:00.088646,2023-06-03 02:02:04.939370
iozone,/dev/md5,65,3,16384,16,16384,16,5,0:00:00.080206,2023-06-03 02:02:05.019749
iozone,/dev/md5,66,1,16384,16,16384,16,5,0:00:00.088246,2023-06-03 02:02:05.108171
iozone,/dev/md5,66,2,16384,16,16384,16,5,0:00:00.079271,2023-06-03 02:02:05.187610
iozone,/dev/md5,66,3,16384,16,16384,16,5,0:00:00.086735,2023-06-03 02:02:05.274513
iozone,/dev/md5,67,1,16384,32,16384,32,5,0:00:00.086316,2023-06-03 02:02:05.361007
iozone,/dev/md5,67,2,16384,32,16384,32,5,0:00:00.088988,2023-06-03 02:02:05.450165
iozone,/dev/md5,67,3,16384,32,16384,32,5,0:00:00.078973,2023-06-03 02:02:05.529309
iozone,/dev/md5,68,1,16384,32,16384,32,5,0:00:00.079402,2023-06-03 02:02:05.608888
iozone,/dev/md5,68,2,16384,32,16384,32,5,0:00:00.079141,2023-06-03 02:02:05.688201
iozone,/dev/md5,68,3,16384,32,16384,32,5,0:00:00.079484,2023-06-03 02:02:05.767867
iozone,/dev/md5,69,1,16384,32,16384,32,5,0:00:00.079162,2023-06-03 02:02:05.847207
iozone,/dev/md5,69,2,16384,32,16384,32,5,0:00:00.078981,2023-06-03 02:02:05.926358
iozone,/dev/md5,69,3,16384,32,16384,32,5,0:00:00.086545,2023-06-03 02:02:06.013081
iozone,/dev/md5,70,1,16384,64,16384,64,5,0:00:00.086794,2023-06-03 02:02:06.100051
iozone,/dev/md5,70,2,16384,64,16384,64,5,0:00:00.087737,2023-06-03 02:02:06.187959
iozone,/dev/md5,70,3,16384,64,16384,64,5,0:00:00.087743,2023-06-03 02:02:06.275870
iozone,/dev/md5,71,1,16384,64,16384,64,5,0:00:00.079683,2023-06-03 02:02:06.355728
iozone,/dev/md5,71,2,16384,64,16384,64,5,0:00:00.079722,2023-06-03 02:02:06.435619
iozone,/dev/md5,71,3,16384,64,16384,64,5,0:00:00.079366,2023-06-03 02:02:06.515152
iozone,/dev/md5,72,1,16384,64,16384,64,5,0:00:00.079908,2023-06-03 02:02:06.595238
iozone,/dev/md5,72,2,16384,64,16384,64,5,0:00:00.078778,2023-06-03 02:02:06.674184
iozone,/dev/md5,72,3,16384,64,16384,64,5,0:00:00.087085,2023-06-03 02:02:06.761439
iozone,/dev/md5,73,1,32768,1,32768,1,5,0:00:00.086661,2023-06-03 02:02:06.848286
iozone,/dev/md5,73,2,32768,1,32768,1,5,0:00:00.087339,2023-06-03 02:02:06.935802
iozone,/dev/md5,73,3,32768,1,32768,1,5,0:00:00.114362,2023-06-03 02:02:07.050333
iozone,/dev/md5,74,1,32768,1,32768,1,5,0:00:00.087059,2023-06-03 02:02:07.137566
